SN,DateTime,Transaction,Transaction Price,Closing Price,Average,Investment,Portfolio,Money end,Real Time Portfolio Vlaue
67,11-05-2021 09:38,Buy,-100,55680.98,0,100,0.001851556,1900,2003.096446
68,11-05-2021 09:39,Buy,-100,55661.89,55680.98,200,0.003648117,1800,2003.061099
69,11-05-2021 09:40,Buy,-100,55664.4,55671.43336,300,0.005444598,1700,2003.070256
70,11-05-2021 09:41,Sell,300,55695.25,55669.08871,0,5.81E-05,2000,2003.238222
71,11-05-2021 09:42,Buy,-100,55719.44,0,100,0.001852848,1900,2003.239629
72,11-05-2021 09:43,Sell,100,55736.23,55719.44,0,5.87E-05,2000,2003.270738
73,11-05-2021 09:44,Buy,-100,55715.52,0,100,0.001853514,1900,2003.269523
74,11-05-2021 09:45,Buy,-100,55629.21,55715.52,200,0.003651131,1800,2003.109546
75,11-05-2021 09:46,Buy,-100,55672.2,55672.33155,300,0.00544736,1700,2003.266508
76,11-05-2021 09:47,Buy,-100,55630.36,55672.2877,400,0.007244939,1600,2003.03859
77,11-05-2021 09:48,Buy,-100,55613.02,55661.79985,500,0.00904308,1500,2002.912963
78,11-05-2021 09:49,Sell,500,55662.14,55652.03704,0,6.03E-05,2000,2003.357159
79,11-05-2021 09:50,Buy,-100,55749.86,0,100,0.00185404,1900,2003.36245
80,11-05-2021 09:51,Sell,100,55788.08,55749.86,0,6.15E-05,2000,2003.433311
81,11-05-2021 09:52,Buy,-100,55728.85,0,100,0.001855945,1900,2003.429666
82,11-05-2021 09:53,Sell,100,55825.9,55728.85,0,6.47E-05,2000,2003.609785
83,11-05-2021 09:54,Buy,-100,55846.75,0,100,0.001855276,1900,2003.611134
84,11-05-2021 09:55,Buy,-100,55845.66,55846.75,200,0.003645925,1800,2003.609111
85,11-05-2021 09:56,Sell,200,55882.73,55846.20499,0,6.70E-05,2000,2003.744266
86,11-05-2021 09:57,Buy,-100,55971.94,0,100,0.001853612,1900,2003.750243
87,11-05-2021 09:58,Buy,-100,55933.32,55971.94,200,0.003641455,1800,2003.678657
88,11-05-2021 09:59,Buy,-100,55901.15,55952.62334,300,0.005430327,1700,2003.561511
89,11-05-2021 10:00,Sell,300,55940.96,55935.45503,0,6.75E-05,2000,2003.777692
90,11-05-2021 10:01,Buy,-100,55917.14,0,100,0.00185589,1900,2003.776084
91,11-05-2021 10:02,Buy,-100,55900.03,55917.14,200,0.003644798,1800,2003.74433
92,11-05-2021 10:03,Sell,200,55959.81,55908.58369,0,7.08E-05,2000,2003.962216
93,11-05-2021 10:04,Buy,-100,55936.88,0,100,0.001858534,1900,2003.960592
94,11-05-2021 10:05,Buy,-100,55926.95,55936.88,200,0.003646581,1800,2003.942137
95,11-05-2021 10:06,Sell,200,55950.12,55931.91456,0,7.20E-05,2000,2004.026628
96,11-05-2021 10:07,Buy,-100,55980.27,0,100,0.001858312,1900,2004.028798
97,11-05-2021 10:08,Sell,100,56050.45,55980.27,0,7.42E-05,2000,2004.159214
98,11-05-2021 10:09,Buy,-100,56044.29,0,100,0.001858508,1900,2004.158757
99,11-05-2021 10:10,Sell,100,56070.27,56044.29,0,7.50E-05,2000,2004.207041
100,11-05-2021 10:11,Buy,-100,56076.87,0,100,0.001858298,1900,2004.207536
101,11-05-2021 10:12,Buy,-100,56043.15,56076.87,200,0.003642637,1800,2004.144875
102,11-05-2021 10:13,Sell,200,56062.69,56060.00493,0,7.52E-05,2000,2004.216052
103,11-05-2021 10:14,Buy,-100,55999.21,0,100,0.001860942,1900,2004.211278
104,11-05-2021 10:15,Sell,100,56033.4,55999.21,0,7.63E-05,2000,2004.274903
105,11-05-2021 10:16,Buy,-100,56023.46,0,100,0.001861259,1900,2004.274145
106,11-05-2021 10:17,Buy,-100,55978.66,56023.46,200,0.003647654,1800,2004.190761
107,11-05-2021 10:18,Buy,-100,55982.97,56001.05104,300,0.005433911,1700,2004.206482
108,11-05-2021 10:19,Sell,300,56028.62,55995.02273,0,7.95E-05,2000,2004.45454
109,11-05-2021 10:20,Buy,-100,55986.41,0,100,0.001865652,1900,2004.451184
110,11-05-2021 10:21,Buy,-100,55959.66,55986.41,200,0.003652654,1800,2004.401278
111,11-05-2021 10:22,Buy,-100,55946.72,55973.0318,300,0.005440069,1700,2004.354013
112,11-05-2021 10:23,Sell,300,55971.08,55964.25845,0,8.02E-05,2000,2004.486533
113,11-05-2021 10:24,Buy,-100,55952.44,0,100,0.00186739,1900,2004.485039
114,11-05-2021 10:25,Sell,100,56015.98,55952.44,0,8.22E-05,2000,2004.603693
115,11-05-2021 10:26,Buy,-100,56189.79,0,100,0.001861868,1900,2004.617977
116,11-05-2021 10:27,Buy,-100,56127.91,56189.79,200,0.003643513,1800,2004.502765
117,11-05-2021 10:28,Buy,-100,56110.12,56158.83295,300,0.005425723,1700,2004.437947
118,11-05-2021 10:29,Buy,-100,56054.24,56142.58591,400,0.007209709,1600,2004.134757
119,11-05-2021 10:30,Buy,-100,55995.67,56120.47333,500,0.008995561,1500,2003.712485
120,11-05-2021 10:31,Buy,-100,55963.45,56095.46818,600,0.010782442,1400,2003.422648
121,11-05-2021 10:32,Buy,-100,55965.38,56073.42191,700,0.012569261,1300,2003.443458
122,11-05-2021 10:33,Buy,-100,55944.84,56057.96182,800,0.014356736,1200,2003.185285
123,11-05-2021 10:34,Buy,-100,55879.34,56043.79658,900,0.016146306,1100,2002.244919
124,11-05-2021 10:35,Buy,-100,55904.2,56025.47584,1000,0.01793508,1000,2002.646316
125,11-05-2021 10:36,Buy,-100,55912.71,56013.32458,1100,0.019723582,900,2002.798944
126,11-05-2021 10:37,Buy,-100,55849.99,56004.16284,1200,0.021514093,800,2001.561881
127,11-05-2021 10:38,Buy,-100,55878.27,55991.2826,1300,0.023303697,700,2002.170299
128,11-05-2021 10:39,Buy,-100,55873.12,55982.5731,1400,0.025093467,600,2002.050285
129,11-05-2021 10:40,Buy,-100,55839.02,55974.7408,1500,0.026884329,500,2001.194598
130,11-05-2021 10:41,Buy,-100,55911.99,55965.67222,1600,0.028672854,400,2003.156347
131,11-05-2021 10:42,Buy,-100,55888.66,55962.31407,1700,0.030462126,300,2002.48741
132,11-05-2021 10:43,Buy,-100,55838.11,55957.9761,1800,0.032253018,200,2000.947549
133,11-05-2021 10:44,Buy,-100,55848.31,55951.30337,1900,0.034043582,100,2001.27653
134,11-05-2021 10:45,Buy,-100,55830.45,55945.8732,2000,0.035834719,0,2000.668512
135,11-05-2021 10:46,Buy,-100,55796.2,55940.09071,2000,0.035834719,0,1999.441173
136,11-05-2021 10:47,Buy,-100,55848.36,55940.09071,2000,0.035834719,0,2001.310311
137,11-05-2021 10:48,Buy,-100,55813.12,55940.09071,2000,0.035834719,0,2000.047496
138,11-05-2021 10:49,Buy,-100,55820.91,55940.09071,2000,0.035834719,0,2000.326648
139,11-05-2021 10:50,Buy,-100,55784.19,55940.09071,2000,0.035834719,0,1999.010798
140,11-05-2021 10:51,Buy,-100,55793.38,55940.09071,2000,0.035834719,0,1999.340119
141,11-05-2021 10:52,Buy,-100,55787.34,55940.09071,2000,0.035834719,0,1999.123677
142,11-05-2021 10:53,Buy,-100,55782.42,55940.09071,2000,0.035834719,0,1998.94737
143,11-05-2021 10:54,Buy,-100,55763.48,55940.09071,2000,0.035834719,0,1998.26866
144,11-05-2021 10:55,Buy,-100,55759.76,55940.09071,2000,0.035834719,0,1998.135355
145,11-05-2021 10:56,Buy,-100,55825.95,55940.09071,2000,0.035834719,0,2000.507255
146,11-05-2021 10:57,Buy,-100,55863,55940.09071,2000,0.035834719,0,2001.834932
